1,'identifica',2
1,'emplea y adapta',4
1,'exige',3
1,'apoya',5
2,'se enfoca en',3
3,'delimitan y restringen',6
4,'ayuda a tratar',2
4,'satisface',3
5,'produce',4
5,'ejecuta y planea',6
5,'aplica',7
6,'creado para tratar',2
6,'actualiza y cambia',4
7,'guía',6
